"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","день","смотреть","just","год","давать"
"2","спасибо","говорить","думать","amp","знать"
"3","мочь","понимать","the","слово","хотеть"
"4","утро","писать","new","самый","посмотреть"
"5","ночь","начинать","surrenderyoursay","top","друг"
"6","хороший","первый","paris","artists","мочь"
"7","сидеть","купить","uploaded","lastfm","последний"
"8","время","любить","hovorun","дело","делать"
"9","показывать","смысл","cyril","помнить","день"
"10","работа","знать","twitter","жить","hipstamatic"
"11","нога","проходить","yes","идти","говорить"
"12","кровосток","видеть","week","muzz","johns"
"13","бывать","концерт","one","должный","работать"
"14","находить","черный","via","the","blackeyssupergrain"
"15","русский","фильм","написать","music","вода"
"16","любить","вчера","îledefrance","любовь","хороший"
"17","новость","хороший","and","мир","chambéry"
"18","говорить","работа","мочь","лицо","душа"
"19","сразу","пойти","становиться","вопрос","пора"
"20","filmisnotdead","ходить","твиттер","странный","убивать"
"21","начало","встречать","know","хотеть","читать"
"22","девушка","называть","three","любой","the"
"23","земля","внезапно","like","читать","играть"
"24","каждый","разный","смерть","хороший","существовать"
"25","час","решать","how","месяц","деньги"
"26","вечер","сделать","well","становиться","кот"
"27","додо","оставаться","интересно","путин","сезон"
"28","считать","блин","выходить","знать","россия"
"29","город","питер","находить","video","лежать"
"30","приезжать","серия","followers","делать","голова"
"31","скоро","понравиться","good","day","отношение"
"32","большой","вид","howd","говорить","язык"
"33","доктор","мочь","mentions","умирать","выходить"
"34","увидеть","музыка","группа","сделать","узнавать"
"35","красивый","получаться","собирать","третий","marseille"
"36","вспомнить","тема","время","ссылка","прекрасный"
"37","ждать","иметь","dont","сила","представлять"
"38","просыпаться","книга","забывать","маленький","время"
"39","paris","идея","первый","имя","рассказывать"
"40","понедельник","круто","история","находить","очередь"
"41","бояться","собака","but","каждый","дом"
"42","мать","pick","mention","настоящий","нужно"
"43","цветок","попробовать","news","случаться","страна"
"44","огонь","момент","reach","особенно","рядом"
"45","начинаться","правильно","ока","петь","сын"
"46","хотеть","точно","time","игра","мечта"
"47","както","становиться","will","cliff","paca"
"48","помощь","завтра","made","martinez","хватить"
"49","штука","приходить","связь","лес","немного"
"50","рано","девочка","стоять","продолжать","общий"
"51","альбом","великий","people","большой","фильм"
"52","зима","нужный","sniff","важный","сторона"
"53","ожидать","успевать","soundcloud","понимать","второй"
"54","уметь","the","модель","пора","находить"
"55","пить","пытаться","учить","спать","первый"
"56","игра","читать","first","глаз","ребенок"
"57","окно","уровень","порядок","вещь","игра"
"58","снова","скоро","video","word","мир"
"59","искусство","принцип","love","ухо","гдеть"
"60","привет","вариант","система","четыре","настроение"
"61","молодой","гость","die","человеческий","свет"
"62","рука","стоить","its","повод","сердце"
"63","машина","фотография","today","цвет","минута"
"64","попадать","следующий","ummmmmm","чувак","пожалуйста"
"65","песня","слушать","говорун","закрывать","отправлять"
"66","проводить","домой","thing","часть","calanque"
"67","проходить","план","meet","поздно","photo"
"68","сходить","свет","what","самолет","мужик"
"69","видеть","зеленый","палец","журнал","слава"
"70","впервые","крутой","friends","долго","сериал"
"71","рождение","включать","спать","оставаться","образ"
"72","пол","единственный","сон","видеть","жрать"
"73","нести","платье","for","оказываться","devil"
"74","живой","перевод","переставать","сторона","video"
"75","чтение","заставлять","чужой","както","мужчина"
"76","почитать","квартира","дорогой","россия","неделя"
"77","плохой","сильно","book","время","круг"
"78","пойти","евро","church","отвечать","бля"
"79","оказываться","буква","пост","grammar","лето"
"80","мир","собираться","amazing","london","открытка"
"81","представлять","знакомый","count","московский","поле"
"82","прямо","хватать","home","волк","печаль"
"83","детский","выглядеть","never","история","ситуация"
"84","метро","проблема","thank","папа","timehop"
"85","дело","телефон","work","немного","глядеть"
"86","ехать","баба","название","президент","любой"
"87","last","неделя","бог","книга","завтра"
"88","nexus","каждый","мысль","сердце","красный"
"89","обычно","страшный","кошка","темный","фото"
"90","добрый","просыпаться","помогать","улица","месяц"
"91","отпуск","похожий","уходить","вчера","чувствовать"
"92","рабочий","батарейка","сайт","песня","открывать"
"93","культура","видео","покупать","интересно","новость"
"94","личный","завидовать","day","сериал","равный"
"95","музей","понятие","best","речь","дома"
"96","норма","герой","брать","спасать","сделать"
"97","интересный","блядь","случай","стекло","третий"
"98","гавно","суд","имя","главный","вести"
"99","тысяча","рыжий","страшно","may","письмо"
"100","заниматься","фраза","нормальный","manu","хотеться"
